Sex	Name	Origin	Meaning	Source
F	Aabidah	Arabic	worshipper	source2
F	Aabida	Muslim	Variant of Abida: Worshippess. Adoress..	source1
F	Aada	Hebrew	ornamented, decorated	source2
F	Aadhya	Sanskrit	Words: at the beginning	source2
F	Aadila	Muslim	Variant of Adila: Just. Honest. Equal..	source1
F	Aa'eedah	Muslim	Variant of A'idah: Visiting. Returning. Reward..	source1
F	Aa'eesha	Muslim	Variant of Ayisha: Life. Vivaciousness. Living. Prosperous. Youngest wife of the Prophet Muhammad..	source1
F	Aafreeda	Muslim	Variant of Afreda: Created. Produced..	source1
F	Aahana	Sanskrit	dawn	source2
F	Aa'ida	Muslim	Returness..	source1
F	Aaleyah	Muslim	Variant of Aleyah: Exalted. Highest social standing..	source1
F	Aaleyah	Muslim	Variant of Aliyah: Exalted. Highest social standing..	source1
F	Aalia	Hebrew	the ascent	source2
F	Aalia	Muslim	Variant of Alia: High. Exalted. Lofty. Sublimity..	source1
F	Aaliyah	Hebrew	the ascent	source2
F	Aamaal	Muslim	Variant of Amal: Hopes. Aspirations. Wishes..	source1
F	Aamira	Muslim	Variant of Amira: Well populated..	source1
F	Aanya	Sanskrit	maybe different	source2
F	Aaraa	Muslim	Variant of Ara: Embellishing. Adorning..	source1
F	Aaradhya	Sanskrit	to be worshipped	source2
F	Aarna	Unknown	maybe wave, ocean	source2
F	Aarohi	Sanskrit	rising	source2
F	Aarya	Old Persian	the noble, the free	source2
F	Aase	Norse	Tree covered mountain.	source1
F	Aatifa. Ateefa	Muslim	Variant of Atifa: Affection. Sympathy..	source1
F	Aatoon	Muslim	Variant of Atun: Educator. Teacheress..	source1
F	Aatun	Muslim	Variant of Atun: Educator. Teacheress..	source1
F	Aava	Old Saxon	maybe strength	source2
F	Aavya	Unknown	 	source2
F	Abagail	Hebrew	my father rejoices, joy of my father	source2
F	Abaigeal	Hebrew	Gives joy.	source1
F	Abana	Biblical	Made of stone, a building.	source1
F	Abarim	Biblical	Passages, passengers.	source1
F	Abarrane	Hebrew	Feminine form of Abraham. Father of many.	source1
F	Abbey	Hebrew	Diminutive of Abigail: Father rejoiced, or father's joy. Gives joy. The intelligent, beautiful Abigail was Old Testament King David's third wife, described as 'good in discretion and beautiful in form.	source1
F	Abbey	Hebrew	my father rejoices, joy of my father	source2
F	Abbie	Hebrew	Diminutive of Abigail: Father rejoiced, or father's joy. Gives joy. The intelligent, beautiful Abigail was Old Testament King David's third wife, described as 'good in discretion and beautiful in form.	source1
F	Abbie	Hebrew	my father rejoices, joy of my father	source2
F	Abbigail	Hebrew	my father rejoices, joy of my father	source2
F	Abbi	Hebrew	my father rejoices, joy of my father	source2
F	Abby	Hebrew	Diminutive of Abigail: Father rejoiced, or father's joy. Gives joy. The intelligent, beautiful Abigail was Old Testament King David's third wife, described as 'good in discretion and beautiful in form.	source1
F	Abby	Hebrew	my father rejoices, joy of my father	source2
F	Abdera	Greek	From Abdera.	source1
F	Abebe	African	Asked for (Nigerian).	source1
F	Abebi	African	Asked for (Nigerian).	source1
F	Abedabun	NativeAmerican	Sight of day (Chippewa).	source1
F	Abeer	Muslim	Variant of Abir: Fragrance..	source1
F	Abegail	Hebrew	my father rejoices, joy of my father	source2
F	Abegayle	Hebrew	Gives joy.	source1
F	Abelarda	Old High German	Words: noble, honorable / brave, hardy	source2
F	Abel-beth-maachah	Biblical	Mourning to the house of Maachah.	source1
F	Abelina	Hebrew	breath	source2
F	Abella	French	Breath.	source1
F	Abellona	Danish	Mannish.	source1
F	Abellone	Greek	Masculine.	source1
F	Abel-maim	Biblical	Mourning of waters.	source1
F	Abel-meholah	Biblical	Mourning of sickness.	source1
F	Abel-mizraim	Biblical	The mourning of Egyptians.	source1
F	Abel-shittim	Biblical	Mourning of thorns.	source1
F	Abequa	NativeAmerican	Stays at home (Chippewa).	source1
F	Abeque	NativeAmerican	Stays at home (Chippewa).	source1
F	Aberfa	Welsh	From the mouth of the river.	source1
F	Abertha	Welsh	Sacrifice.	source1
F	Abez	Biblical	An egg, muddy.	source1
F	Abhirati	Indian	Mother of five hundred children; A mother goddess.	source1
F	Abhy	Hebrew	Gives joy.	source1
F	Abia	Arabic	Great.	source1
F	Abiageal	Irish	Irish form of Abigail. Brings joy.	source1
F	Abiah	Biblical	The Lord is my father.	source1
F	Abia	Muslim	Great..	source1
F	Abib	Biblical	Green fruit, ears of corn.	source1
